configuration,metric,value,lower,upper
full_dynamic,precision,0.879835,0.85589,0.903213
full_dynamic,recall,0.76221,0.739404,0.784646
full_dynamic,avg_action_quality,0.824499,0.805914,0.842707
full_dynamic,avg_weighted_error_cost,6.831111,6.104444,7.588889
full_dynamic,avg_structural_explanation_completeness,0.952897,0.933237,0.970167
full_dynamic,avg_response_time_ms,33170.534934,32426.870411,34046.104703
full_dynamic,escalation_recall,0.978788,0.967442,0.988976
full_dynamic,target_precision,1.0,1.0,1.0
full_dynamic,target_recall,0.978161,0.965933,0.98895
full_dynamic,target_exact_set_accuracy,0.978788,0.967442,0.988976
full_dynamic,failure_rate,0.022222,0.013333,0.032222
full_dynamic,avg_tools_invoked,3.954444,3.937778,3.97
full_dynamic,tool_selection_fallback_rate,0.0,0.0,0.0
all_tools,precision,0.87234,0.845995,0.897629
all_tools,recall,0.760071,0.737499,0.78315
all_tools,avg_action_quality,0.817221,0.796884,0.836702
all_tools,avg_weighted_error_cost,6.982222,6.253333,7.7
all_tools,avg_structural_explanation_completeness,0.952097,0.932526,0.969319
all_tools,avg_response_time_ms,29340.638746,28631.871606,30074.572582
all_tools,escalation_recall,0.975758,0.964226,0.986466
all_tools,target_precision,1.0,1.0,1.0
all_tools,target_recall,0.973563,0.96,0.985637
all_tools,target_exact_set_accuracy,0.975758,0.964226,0.986466
all_tools,failure_rate,0.023333,0.014444,0.033333
all_tools,avg_tools_invoked,4.0,4.0,4.0
all_tools,tool_selection_fallback_rate,0.0,0.0,0.0
without_safety_validation,precision,0.874589,0.848612,0.899631
without_safety_validation,recall,0.758289,0.738052,0.779024
without_safety_validation,avg_action_quality,0.821221,0.801527,0.839918
without_safety_validation,avg_weighted_error_cost,7.146667,6.413333,7.884444
without_safety_validation,avg_structural_explanation_completeness,0.956986,0.936944,0.974264
without_safety_validation,avg_response_time_ms,32636.529578,31953.092185,33322.700033
without_safety_validation,escalation_recall,0.981818,0.970213,0.991667
without_safety_validation,target_precision,0.998807,0.996207,1.0
without_safety_validation,target_recall,0.962069,0.945251,0.977011
without_safety_validation,target_exact_set_accuracy,0.960606,0.944361,0.975
without_safety_validation,failure_rate,0.017778,0.01,0.026667
without_safety_validation,avg_tools_invoked,3.944444,3.925556,3.962222
without_safety_validation,tool_selection_fallback_rate,0.001111,0.0,0.003333
without_follow_up_tracking,precision,0.877207,0.851346,0.901774
without_follow_up_tracking,recall,0.761497,0.740636,0.78245
without_follow_up_tracking,avg_action_quality,0.821104,0.803187,0.839059
without_follow_up_tracking,avg_weighted_error_cost,6.944444,6.268833,7.640056
without_follow_up_tracking,avg_structural_explanation_completeness,0.9505,0.930833,0.968279
without_follow_up_tracking,avg_response_time_ms,32672.522516,32018.140518,33299.686497
without_follow_up_tracking,escalation_recall,0.972727,0.959677,0.984252
without_follow_up_tracking,target_precision,1.0,1.0,1.0
without_follow_up_tracking,target_recall,0.971264,0.957062,0.983674
without_follow_up_tracking,target_exact_set_accuracy,0.972727,0.959677,0.984252
without_follow_up_tracking,failure_rate,0.024444,0.015556,0.034444
without_follow_up_tracking,avg_tools_invoked,3.938889,3.918889,3.956667
without_follow_up_tracking,tool_selection_fallback_rate,0.0,0.0,0.0
non_agentic,precision,0.944015,0.923364,0.962891
non_agentic,recall,0.871658,0.846014,0.89706
non_agentic,avg_action_quality,0.915011,0.89005,0.937234
non_agentic,avg_weighted_error_cost,6.322222,5.233333,7.444444
non_agentic,avg_structural_explanation_completeness,0.635667,0.622367,0.648606
non_agentic,avg_response_time_ms,0.214388,0.205564,0.224901
non_agentic,escalation_recall,1.0,1.0,1.0
non_agentic,target_precision,1.0,1.0,1.0
non_agentic,target_recall,0.758621,0.714286,0.805031
non_agentic,target_exact_set_accuracy,0.681818,0.6,0.757812
non_agentic,failure_rate,0.0,0.0,0.0
non_agentic,avg_tools_invoked,4.0,4.0,4.0
non_agentic,tool_selection_fallback_rate,0.0,0.0,0.0
