configuration,run_index,scenario,selected_tools,skipped_tools,fallback_used,error
full_dynamic,0,critical_congestion_with_sepsis,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,stable_day_shift,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,isolated_high_risk_patient,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,staffing_crunch,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,bed_block,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,queue_overload,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_001_low_stable_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_002_moderate_stable_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_003_high_stable_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_004_critical_stable_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_005_low_isolated_high_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_006_moderate_isolated_high_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_007_low_isolated_high_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_008_critical_isolated_high_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_009_low_isolated_critical_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_010_moderate_isolated_critical_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_011_high_isolated_critical_adequate_critical,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_012_critical_isolated_critical_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_013_low_multi_risk_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_014_moderate_multi_risk_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_015_high_multi_risk_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_016_critical_multi_risk_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_017_low_stable_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_018_moderate_stable_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_019_high_stable_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_020_critical_stable_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_021_low_isolated_high_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_022_moderate_isolated_high_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_023_high_isolated_high_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_024_critical_isolated_high_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_025_low_isolated_critical_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_026_moderate_isolated_critical_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_027_moderate_isolated_critical_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_028_moderate_isolated_critical_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_029_low_multi_risk_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_030_moderate_multi_risk_strained_open,patient_risk;flow_prediction;bed_management,staffing,False,
full_dynamic,0,mixed_031_critical_multi_risk_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_032_critical_multi_risk_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_033_low_stable_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_034_moderate_stable_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_035_high_stable_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_036_critical_stable_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_037_low_isolated_high_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_038_moderate_isolated_high_strained_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_039_high_isolated_high_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_040_critical_isolated_high_critical_critical,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_041_low_isolated_critical_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_042_low_isolated_critical_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_043_high_isolated_critical_critical_open,patient_risk;flow_prediction;staffing,bed_management,False,
full_dynamic,0,mixed_044_critical_isolated_critical_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_045_low_multi_risk_critical_tight,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_046_low_multi_risk_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_047_high_multi_risk_adequate_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_048_moderate_multi_risk_critical_open,patient_risk;flow_prediction;staffing;bed_management,,False,
full_dynamic,0,mixed_049_critical_stable_adequate_critical,patient_risk;flow_prediction;staffing;bed_management,,False,
