configuration,false_negative_weight,false_positive_weight,missed_target_weight,mean_weighted_error_cost
full_dynamic,4.0,1.0,8.0,3.457778
full_dynamic,4.0,1.0,12.0,3.542222
full_dynamic,4.0,1.0,16.0,3.626667
full_dynamic,4.0,2.0,8.0,3.782222
full_dynamic,4.0,2.0,12.0,3.866667
full_dynamic,4.0,2.0,16.0,3.951111
full_dynamic,4.0,4.0,8.0,4.431111
full_dynamic,4.0,4.0,12.0,4.515556
full_dynamic,4.0,4.0,16.0,4.6
full_dynamic,8.0,1.0,8.0,6.422222
full_dynamic,8.0,1.0,12.0,6.506667
full_dynamic,8.0,1.0,16.0,6.591111
full_dynamic,8.0,2.0,8.0,6.746667
full_dynamic,8.0,2.0,12.0,6.831111
full_dynamic,8.0,2.0,16.0,6.915556
full_dynamic,8.0,4.0,8.0,7.395556
full_dynamic,8.0,4.0,12.0,7.48
full_dynamic,8.0,4.0,16.0,7.564444
full_dynamic,12.0,1.0,8.0,9.386667
full_dynamic,12.0,1.0,12.0,9.471111
full_dynamic,12.0,1.0,16.0,9.555556
full_dynamic,12.0,2.0,8.0,9.711111
full_dynamic,12.0,2.0,12.0,9.795556
full_dynamic,12.0,2.0,16.0,9.88
full_dynamic,12.0,4.0,8.0,10.36
full_dynamic,12.0,4.0,12.0,10.444444
full_dynamic,12.0,4.0,16.0,10.528889
all_tools,4.0,1.0,8.0,3.542222
all_tools,4.0,1.0,12.0,3.644444
all_tools,4.0,1.0,16.0,3.746667
all_tools,4.0,2.0,8.0,3.888889
all_tools,4.0,2.0,12.0,3.991111
all_tools,4.0,2.0,16.0,4.093333
all_tools,4.0,4.0,8.0,4.582222
all_tools,4.0,4.0,12.0,4.684444
all_tools,4.0,4.0,16.0,4.786667
all_tools,8.0,1.0,8.0,6.533333
all_tools,8.0,1.0,12.0,6.635556
all_tools,8.0,1.0,16.0,6.737778
all_tools,8.0,2.0,8.0,6.88
all_tools,8.0,2.0,12.0,6.982222
all_tools,8.0,2.0,16.0,7.084444
all_tools,8.0,4.0,8.0,7.573333
all_tools,8.0,4.0,12.0,7.675556
all_tools,8.0,4.0,16.0,7.777778
all_tools,12.0,1.0,8.0,9.524444
all_tools,12.0,1.0,12.0,9.626667
all_tools,12.0,1.0,16.0,9.728889
all_tools,12.0,2.0,8.0,9.871111
all_tools,12.0,2.0,12.0,9.973333
all_tools,12.0,2.0,16.0,10.075556
all_tools,12.0,4.0,8.0,10.564444
all_tools,12.0,4.0,12.0,10.666667
all_tools,12.0,4.0,16.0,10.768889
without_safety_validation,4.0,1.0,8.0,3.646667
without_safety_validation,4.0,1.0,12.0,3.793333
without_safety_validation,4.0,1.0,16.0,3.94
without_safety_validation,4.0,2.0,8.0,3.986667
without_safety_validation,4.0,2.0,12.0,4.133333
without_safety_validation,4.0,2.0,16.0,4.28
without_safety_validation,4.0,4.0,8.0,4.666667
without_safety_validation,4.0,4.0,12.0,4.813333
without_safety_validation,4.0,4.0,16.0,4.96
without_safety_validation,8.0,1.0,8.0,6.66
without_safety_validation,8.0,1.0,12.0,6.806667
without_safety_validation,8.0,1.0,16.0,6.953333
without_safety_validation,8.0,2.0,8.0,7.0
without_safety_validation,8.0,2.0,12.0,7.146667
without_safety_validation,8.0,2.0,16.0,7.293333
without_safety_validation,8.0,4.0,8.0,7.68
without_safety_validation,8.0,4.0,12.0,7.826667
without_safety_validation,8.0,4.0,16.0,7.973333
without_safety_validation,12.0,1.0,8.0,9.673333
without_safety_validation,12.0,1.0,12.0,9.82
without_safety_validation,12.0,1.0,16.0,9.966667
without_safety_validation,12.0,2.0,8.0,10.013333
without_safety_validation,12.0,2.0,12.0,10.16
without_safety_validation,12.0,2.0,16.0,10.306667
without_safety_validation,12.0,4.0,8.0,10.693333
without_safety_validation,12.0,4.0,12.0,10.84
without_safety_validation,12.0,4.0,16.0,10.986667
without_follow_up_tracking,4.0,1.0,8.0,3.527778
without_follow_up_tracking,4.0,1.0,12.0,3.638889
without_follow_up_tracking,4.0,1.0,16.0,3.75
without_follow_up_tracking,4.0,2.0,8.0,3.86
without_follow_up_tracking,4.0,2.0,12.0,3.971111
without_follow_up_tracking,4.0,2.0,16.0,4.082222
without_follow_up_tracking,4.0,4.0,8.0,4.524444
without_follow_up_tracking,4.0,4.0,12.0,4.635556
without_follow_up_tracking,4.0,4.0,16.0,4.746667
without_follow_up_tracking,8.0,1.0,8.0,6.501111
without_follow_up_tracking,8.0,1.0,12.0,6.612222
without_follow_up_tracking,8.0,1.0,16.0,6.723333
without_follow_up_tracking,8.0,2.0,8.0,6.833333
without_follow_up_tracking,8.0,2.0,12.0,6.944444
without_follow_up_tracking,8.0,2.0,16.0,7.055556
without_follow_up_tracking,8.0,4.0,8.0,7.497778
without_follow_up_tracking,8.0,4.0,12.0,7.608889
without_follow_up_tracking,8.0,4.0,16.0,7.72
without_follow_up_tracking,12.0,1.0,8.0,9.474444
without_follow_up_tracking,12.0,1.0,12.0,9.585556
without_follow_up_tracking,12.0,1.0,16.0,9.696667
without_follow_up_tracking,12.0,2.0,8.0,9.806667
without_follow_up_tracking,12.0,2.0,12.0,9.917778
without_follow_up_tracking,12.0,2.0,16.0,10.028889
without_follow_up_tracking,12.0,4.0,8.0,10.471111
without_follow_up_tracking,12.0,4.0,12.0,10.582222
without_follow_up_tracking,12.0,4.0,16.0,10.693333
non_agentic,4.0,1.0,8.0,3.627778
non_agentic,4.0,1.0,12.0,4.561111
non_agentic,4.0,1.0,16.0,5.494444
non_agentic,4.0,2.0,8.0,3.788889
non_agentic,4.0,2.0,12.0,4.722222
non_agentic,4.0,2.0,16.0,5.655556
non_agentic,4.0,4.0,8.0,4.111111
non_agentic,4.0,4.0,12.0,5.044444
non_agentic,4.0,4.0,16.0,5.977778
non_agentic,8.0,1.0,8.0,5.227778
non_agentic,8.0,1.0,12.0,6.161111
non_agentic,8.0,1.0,16.0,7.094444
non_agentic,8.0,2.0,8.0,5.388889
non_agentic,8.0,2.0,12.0,6.322222
non_agentic,8.0,2.0,16.0,7.255556
non_agentic,8.0,4.0,8.0,5.711111
non_agentic,8.0,4.0,12.0,6.644444
non_agentic,8.0,4.0,16.0,7.577778
non_agentic,12.0,1.0,8.0,6.827778
non_agentic,12.0,1.0,12.0,7.761111
non_agentic,12.0,1.0,16.0,8.694444
non_agentic,12.0,2.0,8.0,6.988889
non_agentic,12.0,2.0,12.0,7.922222
non_agentic,12.0,2.0,16.0,8.855556
non_agentic,12.0,4.0,8.0,7.311111
non_agentic,12.0,4.0,12.0,8.244444
non_agentic,12.0,4.0,16.0,9.177778
